,Workload,Algorithm,r,Mean (Std)
330,sd_crew_cif_short.y4m,FEMOSAA,1,0.146 (0.035)
331,sd_crew_cif_short.y4m,Seed-EA,2,0.262 (0.323)
332,sd_crew_cif_short.y4m,D-SOGA,2,0.148 (0.031)
333,sd_crew_cif_short.y4m,LiDOS,3,0.273 (0.348)
334,sd_crew_cif_short.y4m,DLiSA-0.3,1,0.137 (0.022)
335,sintel_trailer_2k_720p24_short.y4m,FEMOSAA,2,0.262 (0.045)
336,sintel_trailer_2k_720p24_short.y4m,Seed-EA,4,0.348 (0.368)
337,sintel_trailer_2k_720p24_short.y4m,D-SOGA,3,0.289 (0.185)
338,sintel_trailer_2k_720p24_short.y4m,LiDOS,5,0.517 (0.638)
339,sintel_trailer_2k_720p24_short.y4m,DLiSA-0.3,1,0.247 (0.034)
340,ambivert.wav.tar,FEMOSAA,2,4.731 (1.33)
341,ambivert.wav.tar,Seed-EA,1,4.369 (1.205)
342,ambivert.wav.tar,D-SOGA,2,4.515 (1.296)
343,ambivert.wav.tar,LiDOS,3,4.809 (1.325)
344,ambivert.wav.tar,DLiSA-0.3,1,3.693 (0.772)
345,artificl.tar,FEMOSAA,3,0.014 (0.005)
346,artificl.tar,Seed-EA,2,0.013 (0.005)
347,artificl.tar,D-SOGA,2,0.014 (0.005)
348,artificl.tar,LiDOS,4,0.016 (0.006)
349,artificl.tar,DLiSA-0.3,1,0.012 (0.004)
350,deepfield.tar,FEMOSAA,2,4.585 (1.364)
351,deepfield.tar,Seed-EA,2,4.396 (1.256)
352,deepfield.tar,D-SOGA,1,4.241 (1.146)
353,deepfield.tar,LiDOS,3,4.668 (1.339)
354,deepfield.tar,DLiSA-0.3,1,3.582 (0.65)
355,enwik8.tar,FEMOSAA,3,13.918 (4.212)
356,enwik8.tar,Seed-EA,2,12.761 (3.97)
357,enwik8.tar,D-SOGA,2,12.761 (3.711)
358,enwik8.tar,LiDOS,2,13.008 (3.864)
359,enwik8.tar,DLiSA-0.3,1,11.001 (3.132)
360,fannie_mae_500k.tar,FEMOSAA,3,14.628 (4.1)
361,fannie_mae_500k.tar,Seed-EA,1,12.891 (3.707)
362,fannie_mae_500k.tar,D-SOGA,2,13.444 (4.004)
363,fannie_mae_500k.tar,LiDOS,2,14.094 (3.98)
364,fannie_mae_500k.tar,DLiSA-0.3,1,10.406 (2.39)
365,large.tar,FEMOSAA,1,1.939 (0.586)
366,large.tar,Seed-EA,1,1.899 (0.548)
367,large.tar,D-SOGA,2,1.967 (0.561)
368,large.tar,LiDOS,1,1.967 (0.544)
369,large.tar,DLiSA-0.3,1,1.552 (0.41)
370,misc.tar,FEMOSAA,4,0.213 (0.026)
371,misc.tar,Seed-EA,2,0.202 (0.015)
372,misc.tar,D-SOGA,3,0.205 (0.02)
373,misc.tar,LiDOS,3,0.208 (0.02)
374,misc.tar,DLiSA-0.3,1,0.193 (0.01)
375,silesia.tar,FEMOSAA,3,30.729 (8.591)
376,silesia.tar,Seed-EA,2,26.889 (7.204)
377,silesia.tar,D-SOGA,2,27.456 (7.979)
378,silesia.tar,LiDOS,2,28.254 (7.225)
